AccSpeciesName,OrigUnitStr,"Leaf area (in case of compound leaves: leaflet, petiole excluded)",Leaf carbon (C) content per leaf dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf phenols content per leaf dry mass,Leaf sugar content per leaf dry mass
Populus fremontii,g/g,NA,NA,41.3735,NA,NA
Populus grandidentata,g/g,NA,NA,21.310803964999998,NA,NA
Populus nigra,%/%,NA,NA,27.4724083549251,NA,NA
Populus nigra,g/g,NA,NA,30.205781959825043,NA,NA
Populus tremuloides,g/g,NA,NA,18.596543840070176,NA,NA
Populus tremuloides,kg C per kg N,NA,NA,22.6,NA,NA
Populus tremuloides,unitless,NA,NA,19.575583333333334,NA,NA
Prunus americana,g/g,NA,NA,40,NA,NA
Prunus avium,g/g,NA,NA,23.175066078153847,NA,NA
Prunus pensylvanica,g/g,NA,NA,65,NA,NA
Prunus serotina,g/g,NA,NA,19.737028482641115,NA,NA
Prunus serotina,kg C per kg N,NA,NA,21.549999999999997,NA,NA
Ptelea trifoliata,g/g,NA,NA,65,NA,NA
Picea abies,g g-1 DW,NA,NA,NA,NA,0.07850407142857142
Populus alba,g g-1 DW,NA,NA,NA,NA,0.1131325
