AccSpeciesName,C amount at 13C measurement (%),Leaf area: in case of compond leaves leaflet; petiole excluded (1) (cm2),Leaf area: in case of compound leaves leaflet; petiole excluded (cm2),Leaf area: in case of compound leaves leaflet; petiole excluded (m2),Leaf area: in case of compound leaves leaflet; petiole excluded (mm2),Leaf carbon content per dry mass (%),Leaf carbon content per dry mass ((mg g-1)),Leaf carbon content per dry mass (g C g-1 DW),Leaf carbon content per dry mass (g/100g),Leaf carbon content per dry mass (g/kg),Leaf carbon content per dry mass (mg g-1),Leaf carbon content per dry mass (mg/g dry mass),Leaf carbon content per dry mass (mg/g),Leaf carbon content per dry mass (mg/mg *100),Leaf carbon content per dry mass (percent),Leaf carbon/nitrogen (C/N) ratio (%/%),Leaf carbon/nitrogen (C/N) ratio (g/g),Leaf carbon/nitrogen (C/N) ratio (kg C per kg N),Leaf carbon/nitrogen (C/N) ratio (unitless),Leaf phenols content per dry mass (mg/g dry mass),Leaf senescent carbon content per dry mass (%),Leaf sugar content per dry mass (g g-1 DW)
Magnolia virginiana,NA,NA,NA,NA,NA,50.64885185185185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.055001329,NA,NA,NA,NA,NA
Morella cerifera,NA,NA,NA,NA,NA,47.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morus rubra,NA,NA,NA,NA,NA,31.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,21.6,NA,NA,NA,NA
Nyssa sylvatica,NA,NA,NA,NA,NA,48.28688888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.95945946,NA,NA,NA,NA,NA
Persea borbonia,NA,NA,NA,NA,NA,49.900000000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.240277776666666,NA,NA,NA,NA,NA
Picea glauca,NA,NA,NA,NA,NA,49.74272727272727,NA,NA,NA,NA,NA,NA,NA,NA,51.6578,NA,42.20366980666667,40.3,NA,NA,NA,NA
Pinus echinata,NA,NA,NA,NA,NA,52.215399999999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA
Pinus radiata,NA,NA,NA,NA,NA,50.765,NA,NA,50.765,NA,NA,NA,NA,NA,NA,NA,34.0990882935,NA,NA,NA,NA,NA
Pinus strobus,NA,NA,NA,NA,NA,48.957086956521735,NA,NA,NA,NA,477.1473684085789,NA,NA,NA,51.52607692307692,NA,32.56080947472222,26.1,NA,NA,NA,NA
Pinus taeda,NA,NA,NA,NA,NA,50.378454545454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,42,NA,NA,NA,NA
Platanus occidentalis,NA,NA,NA,NA,NA,46.707499999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA
Populus balsamifera,NA,NA,NA,NA,NA,46.31699382863158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.843279952820975,NA,NA,NA,NA,NA
Populus deltoides,NA,NA,NA,NA,NA,41.4174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9356846475,21.2,NA,NA,39.11,NA
Populus grandidentata,NA,NA,NA,NA,NA,48.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.310803964999998,NA,NA,NA,NA,NA
Prunus avium,NA,NA,NA,NA,NA,46.611802513166666,472,NA,46.19,NA,NA,NA,NA,46.64018112874779,NA,NA,23.175066078153847,NA,NA,NA,NA,NA
Prunus pensylvanica,NA,NA,NA,NA,NA,46.176,NA,NA,NA,NA,NA,NA,NA,NA,50.25378571428571,NA,65,NA,NA,NA,NA,NA
Prunus umbellata,NA,NA,NA,NA,NA,47.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acer saccharinum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.01016666666667,NA,65,NA,NA,NA,NA,NA
Acer nigrum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA
Aesculus glabra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA
Maclura pomifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA
Nyssa aquatica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA
Pinus virginiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA
Prunus americana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA
Ptelea trifoliata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA
